type,step,pnl
sell_short,592,
buy_cover,594,41.47304845573308
sell_short,667,
buy_cover,669,-18.363444867525686
sell_short,1189,
buy_cover,1191,-154.70500922655265
sell_short,1232,
buy_cover,1234,-1.6701614168287051
sell_short,1477,
buy_cover,1479,74.80155793013
sell_short,1693,
buy_cover,1695,0.1450568071941234
sell_short,2837,
buy_cover,2839,-12.066536332233227
sell_short,2851,
buy_cover,2867,122.56594478416446
sell_short,3400,
buy_cover,3402,18.336222239766357
sell_short,3793,
buy_cover,3795,8.10958341836158
sell_short,3980,
buy_cover,3982,11.576168505886017
sell_short,4012,
buy_cover,4014,33.478136695699504
sell_short,4169,
buy_cover,4171,-37.936406077540596
sell_short,4334,
buy_cover,4336,95.74330685091445
sell_short,4499,
buy_cover,4501,-12.56756148822933
sell_short,4505,
buy_cover,4529,58.82564213206024
sell_short,4712,
buy_cover,4714,-3.8341324647626607
sell_short,4804,
buy_cover,4806,-1.6588998793831706
sell_short,5000,
buy_cover,5002,27.124904015621723
sell_short,5015,
buy_cover,5017,31.75975461609778
sell_short,5089,
buy_cover,5091,-50.69334003892618
sell_short,5095,
buy_cover,5097,16.327010237113427
sell_short,5291,
buy_cover,5293,-10.009161912959826
sell_short,5453,
buy_cover,5455,-15.604568583094078
sell_short,5492,
buy_cover,5494,14.917725854409582
sell_short,5930,
buy_cover,5932,-6.4214959676810395
sell_short,6638,
buy_cover,6640,14.446905796912688
sell_short,6717,
buy_cover,6719,-4.454796717660429
sell_short,7182,
buy_cover,7184,36.154448997413056
sell_short,7213,
buy_cover,7215,-16.64857263988779
sell_short,7418,
buy_cover,7420,-15.586355460240156
sell_short,7426,
buy_cover,7428,0.32083117220645363
sell_short,8629,
buy_cover,8632,-9.169194116066137
sell_short,8657,
buy_cover,8659,-8.200719710648627
sell_short,8908,
buy_cover,8910,-8.985097185166524
sell_short,9031,
buy_cover,9041,176.29977546921327
sell_short,9122,
buy_cover,9124,2.4132210396674054
sell_short,9162,
buy_cover,9164,2.47990617007963
sell_short,9212,
buy_cover,9214,-13.745444989654061
sell_short,9216,
buy_cover,9218,4.080179747879811
sell_short,9496,
buy_cover,9498,-0.29785664831615577
sell_short,9691,
buy_cover,9693,-36.759985433278416
sell_short,9718,
buy_cover,9720,10.610754177116178
sell_short,9931,
buy_cover,9933,-30.540455624601236
sell_short,10357,
buy_cover,10380,33.389869360520606
sell_short,11083,
buy_cover,11085,8.844906494579845
sell_short,11479,
buy_cover,11481,29.19828316737221
sell_short,11651,
buy_cover,11653,24.5009971019972
sell_short,11737,
buy_cover,11739,-16.729210179359143
sell_short,12131,
buy_cover,12133,28.053291580614314
sell_short,12377,
buy_cover,12379,1.8780140631988615
sell_short,12408,
buy_cover,12410,14.997031738203077
sell_short,12751,
buy_cover,12753,4.246480860116208
sell_short,13034,
buy_cover,13036,5.031095045449547
sell_short,13300,
buy_cover,13302,19.825601306876706
sell_short,13329,
buy_cover,13331,-1.6587751215320168
sell_short,13381,
buy_cover,13383,-30.831090676989334
sell_short,13384,
buy_cover,13386,18.93891537135096
sell_short,13903,
buy_cover,13905,22.91809512403779
sell_short,14113,
buy_cover,14115,24.415759990975857
sell_short,14195,
buy_cover,14197,21.705323290576416
sell_short,14353,
buy_cover,14355,-6.113789133123646
sell_short,14419,
buy_cover,14421,-19.62189715351451
sell_short,14963,
buy_cover,14965,-1.03346415130909
sell_short,14980,
buy_cover,14982,-3.0878781112296565
sell_short,15721,
buy_cover,15723,-22.320964215901768
sell_short,15766,
buy_cover,15768,9.376792245828256
sell_short,15830,
buy_cover,15832,-17.10812348670879
sell_short,15850,
buy_cover,15852,-6.583398560864225
sell_short,16332,
buy_cover,16334,5.116415431146379
sell_short,16662,
buy_cover,16664,-5.115877324382382
sell_short,16801,
buy_cover,16803,-4.533900437450939
sell_short,16906,
buy_cover,16908,-9.718153315430754
sell_short,16912,
buy_cover,16914,-6.870192946649695
sell_short,16935,
buy_cover,16937,-10.264108334302364
sell_short,17078,
buy_cover,17080,1.4076320534786646
