type,step,pnl
sell_short,299,
buy_cover,300,-20.672032812977704
sell_short,417,
buy_cover,424,8.23069334955835
sell_short,647,
buy_cover,659,17.54374197726247
buy,798,
sell,806,-24.29485191292406
buy,842,
sell,852,23.67301770226004
buy,864,
sell,868,-51.340843767116894
sell_short,904,
buy_cover,908,-45.408769726660466
buy,952,
sell,956,-20.954653154407424
sell_short,1040,
buy_cover,1047,-8.10443549322008
buy,1069,
sell,1070,-7.807210328875954
buy,1078,
sell,1081,-4.908900586142408
buy,1127,
sell,1131,-32.28651796826489
sell_short,1159,
buy_cover,1165,-39.59680039582963
sell_short,1169,
buy_cover,1173,26.050175144400782
sell_short,1175,
buy_cover,1180,-23.346179641252093
sell_short,1215,
buy_cover,1218,-33.10809772363791
sell_short,1264,
buy_cover,1267,-47.50410473654301
buy,1301,
sell,1313,193.51449053031502
buy,1371,
sell,1379,-38.53921030280071
buy,1471,
sell,1474,-54.321394793663785
buy,1554,
sell,1555,-28.595479661771606
sell_short,1632,
buy_cover,1636,-7.280814991041552
sell_short,1661,
buy_cover,1673,5.353242333714661
sell_short,1705,
buy_cover,1706,-30.966258261065377
buy,1758,
sell,1769,-43.11449134786926
buy,1831,
sell,1836,13.646673843142707
sell_short,1933,
buy_cover,1940,-19.457967958534937
buy,2010,
sell,2016,-15.185299812523226
sell_short,2049,
buy_cover,2053,-18.80370237916577
sell_short,2055,
buy_cover,2061,-27.707282854165896
sell_short,2062,
buy_cover,2069,-19.252942935383544
buy,2101,
sell,2109,-28.692728806625382
sell_short,2143,
buy_cover,2150,-2.0892762469611625
buy,2187,
sell,2196,-9.70512261919066
sell_short,2218,
buy_cover,2221,-6.873367727135701
sell_short,2226,
buy_cover,2231,-3.528274403355681
buy,2258,
sell,2262,-15.958501813793191
sell_short,2292,
buy_cover,2299,-7.5122010306095035
sell_short,2311,
buy_cover,2313,-15.88551851882039
sell_short,2314,
buy_cover,2317,-8.840518411094308
sell_short,2352,
buy_cover,2359,-13.24099820093943
sell_short,2372,
buy_cover,2375,-8.868212725068588
sell_short,2376,
buy_cover,2381,-7.7565135370805365
buy,2439,
sell,2441,-13.25663673003146
buy,2562,
sell,2566,-4.796360442416699
buy,2637,
sell,2649,64.75913584798036
buy,2683,
sell,2688,-10.638137520056262
buy,2694,
sell,2700,6.963335755199296
buy,2726,
sell,2732,63.285634564686916
sell_short,2843,
buy_cover,2854,-6.746148567441196
