type,step,pnl
sell_short,58,
buy_cover,67,-166.58096685064083
buy,86,
sell,110,30.003882895642164
buy,114,
sell,131,-57.5104914688236
sell_short,145,
buy_cover,154,-63.469436211329594
buy,162,
sell,186,72.13235035454272
buy,187,
sell,201,-45.661149357902104
buy,206,
sell,211,-29.250346500974047
buy,212,
sell,213,-15.706156171287148
sell_short,222,
buy_cover,246,104.60711269536841
sell_short,283,
buy_cover,294,17.246062057311065
sell_short,297,
buy_cover,321,120.89156567243299
sell_short,323,
buy_cover,342,57.441593753752386
sell_short,343,
buy_cover,367,32.686395004200676
sell_short,368,
buy_cover,383,-56.60582816423994
buy,385,
sell,389,-57.35131613729027
sell_short,399,
buy_cover,406,-43.45193899313381
buy,419,
sell,439,-28.992382116810404
sell_short,440,
buy_cover,441,-1.9978080094624602
buy,442,
sell,458,-34.4118392547407
sell_short,463,
buy_cover,471,-12.442230512104288
buy,472,
sell,473,-10.327559273287989
sell_short,474,
buy_cover,498,416.63993590724203
sell_short,506,
buy_cover,530,117.29192618837806
sell_short,533,
buy_cover,546,-51.16892628291498
buy,555,
sell,579,10.069906621241898
buy,593,
sell,617,78.57842375744985
buy,620,
sell,644,120.13106453229011
buy,667,
sell,691,62.04047344771607
buy,693,
sell,716,-54.07461213408169
buy,719,
sell,720,-23.74639335248503
buy,749,
sell,765,-41.79266204601299
buy,766,
sell,775,-58.67272131865684
sell_short,789,
buy_cover,813,71.95172291813469
sell_short,828,
buy_cover,852,16.59087987748353
sell_short,855,
buy_cover,869,-181.09683849866087
buy,879,
sell,903,-1.023980773441508
sell_short,919,
buy_cover,943,155.40289568871958
sell_short,959,
buy_cover,983,-63.61666924309793
sell_short,984,
buy_cover,992,-80.51683739444161
buy,1012,
sell,1036,56.238098760706634
buy,1048,
sell,1063,-29.810523143580212
buy,1065,
sell,1067,-131.6661665868487
sell_short,1086,
buy_cover,1096,-1.8655865458295011
sell_short,1097,
buy_cover,1104,-69.90812843305503
buy,1109,
sell,1125,-83.45185152364138
sell_short,1130,
buy_cover,1154,58.52100303866973
sell_short,1161,
buy_cover,1165,-117.74198792521929
buy,1201,
sell,1214,-104.74992850836315
buy,1215,
sell,1239,35.214423121975415
buy,1242,
sell,1266,80.84088145435817
buy,1267,
sell,1272,-59.49223668380364
sell_short,1285,
buy_cover,1309,81.97019559088403
sell_short,1312,
buy_cover,1336,84.57710654418588
sell_short,1340,
buy_cover,1342,-53.47245796007155
sell_short,1343,
buy_cover,1367,33.13837157220587
sell_short,1368,
buy_cover,1392,254.68067854007495
sell_short,1407,
buy_cover,1421,-40.905272763082394
sell_short,1422,
buy_cover,1427,-72.12588897860951
buy,1431,
sell,1436,-67.93662102427515
sell_short,1447,
buy_cover,1470,-45.38330803131612
buy,1478,
sell,1502,120.58565176630145
buy,1508,
sell,1531,-69.73041001839556
buy,1561,
sell,1573,-94.5119443999738
sell_short,1576,
buy_cover,1586,-80.28891098070017
buy,1588,
sell,1593,-25.900626580119933
sell_short,1594,
buy_cover,1618,116.25655063663908
sell_short,1624,
buy_cover,1645,-104.26829037910647
buy,1653,
sell,1677,460.32765819548695
buy,1696,
sell,1708,-93.1059128613033
buy,1709,
sell,1733,18.96859941196999
buy,1743,
sell,1767,386.03273587036347
buy,1775,
sell,1799,228.45207301689516
buy,1808,
sell,1818,-83.0476518729065
buy,1833,
sell,1834,-14.766931442236455
buy,1835,
sell,1836,-27.9140922220231
sell_short,1858,
buy_cover,1882,16.32254959203965
sell_short,1883,
buy_cover,1904,10.149414635799985
buy,1918,
sell,1922,-86.94526566087552
sell_short,1927,
buy_cover,1937,-31.242637497045507
buy,1939,
sell,1940,-6.98405440258648
buy,1944,
sell,1946,-46.79876329213221
sell_short,1959,
buy_cover,1963,-55.78846518410501
buy,1973,
sell,1994,53.017243028472876
buy,1995,
sell,2014,-42.75511217454732
sell_short,2029,
buy_cover,2053,226.86576598652573
sell_short,2054,
buy_cover,2078,51.04592373850028
sell_short,2079,
buy_cover,2099,-93.10804093960724
sell_short,2123,
buy_cover,2147,25.452187928513013
sell_short,2152,
buy_cover,2162,-61.56985974464624
buy,2171,
sell,2195,-31.224019372817565
sell_short,2213,
buy_cover,2223,-48.228714954531824
sell_short,2229,
buy_cover,2232,-67.20568705575897
buy,2239,
sell,2253,-82.36169982230604
sell_short,2263,
buy_cover,2287,68.17695701229422
sell_short,2290,
buy_cover,2314,215.99517915692195
sell_short,2350,
buy_cover,2361,-21.20031980672684
sell_short,2362,
buy_cover,2374,-77.35464525606585
sell_short,2379,
buy_cover,2383,-13.61854000186031
sell_short,2384,
buy_cover,2404,17.002249686442156
sell_short,2405,
buy_cover,2409,-26.243632007777705
buy,2412,
sell,2427,-13.857285229241825
sell_short,2434,
buy_cover,2458,9.74325645295903
sell_short,2464,
buy_cover,2469,-94.07654873302636
buy,2472,
sell,2479,-96.23309532686835
sell_short,2486,
buy_cover,2501,-8.392946185776964
buy,2502,
sell,2503,-11.859478873650005
sell_short,2504,
buy_cover,2521,-6.27183323780082
sell_short,2522,
buy_cover,2526,-44.987695473248095
buy,2535,
sell,2559,4.351720530048624
buy,2560,
sell,2577,1.8281404886201926
buy,2578,
sell,2584,-46.38917615564242
sell_short,2587,
buy_cover,2606,-21.6514495404881
buy,2614,
sell,2618,-43.14502035933219
sell_short,2621,
buy_cover,2639,-10.205391459956445
buy,2640,
sell,2641,-9.010840675467989
buy,2642,
sell,2643,-6.114362651156625
buy,2644,
sell,2645,-10.801278002330946
sell_short,2652,
buy_cover,2673,56.1706505848033
sell_short,2674,
buy_cover,2688,-39.357400979793965
sell_short,2689,
buy_cover,2704,-9.858367066604842
sell_short,2705,
buy_cover,2711,-26.715915104801752
buy,2714,
sell,2726,-14.389424793434955
buy,2727,
sell,2737,-36.956948379633104
buy,2739,
sell,2740,0.5328736139290413
buy,2741,
sell,2744,-30.49198478224025
sell_short,2745,
buy_cover,2764,98.2929114841354
sell_short,2767,
buy_cover,2781,24.894207018274756
sell_short,2782,
buy_cover,2804,-57.81442701728702
buy,2812,
sell,2836,53.90132747253483
buy,2837,
sell,2851,13.295583307863126
sell_short,2884,
buy_cover,2908,20.461453395559147
sell_short,2909,
buy_cover,2933,19.819320648546636
sell_short,2939,
buy_cover,2949,-64.7402068185529
buy,2961,
sell,2972,-30.771510195458177
buy,2975,
sell,2983,-173.39056702775088
sell_short,2992,
buy_cover,3015,-84.03990973600958
buy,3017,
sell,3041,56.385878649218284
buy,3057,
sell,3081,154.46067487900655
buy,3084,
sell,3089,-70.8427861938053
sell_short,3099,
buy_cover,3107,-51.472104504216986
buy,3116,
sell,3129,48.16227869780778
buy,3130,
sell,3142,-97.04561154941439
buy,3149,
sell,3150,-23.23768110560013
buy,3152,
sell,3153,2.2010647215320205
buy,3166,
sell,3190,85.12468608402196
buy,3193,
sell,3216,0.5661243474660296
sell_short,3227,
buy_cover,3239,-81.19346076643706
buy,3251,
sell,3275,-62.197258103460626
sell_short,3298,
buy_cover,3300,-39.25081464878167
sell_short,3310,
buy_cover,3313,-5.051766280286756
sell_short,3315,
buy_cover,3317,-52.31946833887014
buy,3323,
sell,3339,78.03300913478779
buy,3340,
sell,3364,57.95801328260495
buy,3365,
sell,3389,25.99867096392518
buy,3401,
sell,3418,3.046155163405274
