type,step,pnl
sell_short,326,
buy_cover,327,33.75522715191801
sell_short,395,
buy_cover,396,-9.562583309552792
sell_short,645,
buy_cover,646,2.6634450433484744
sell_short,793,
buy_cover,794,28.69107503385385
buy,1261,
sell,1264,-17.31261900262689
sell_short,1889,
buy_cover,1890,18.11702834102107
buy,2147,
sell,2148,-8.63422407507096
sell_short,2356,
buy_cover,2357,1.2876034313703713
sell_short,3030,
buy_cover,3031,7.603106589993331
buy,3434,
sell,3435,-11.551686498814888
sell_short,4825,
buy_cover,4826,19.1830253370008
buy,6078,
sell,6079,7.821442762411607
sell_short,6581,
buy_cover,6582,-32.717813696317535
sell_short,6669,
buy_cover,6670,-14.173501768327696
sell_short,6688,
buy_cover,6689,7.568224203640057
sell_short,6708,
buy_cover,6709,-4.004672237149862
sell_short,6998,
buy_cover,6999,-4.002269273622005
sell_short,7184,
buy_cover,7185,-10.122701488375242
sell_short,7186,
buy_cover,7187,-1.8252838818207238
sell_short,7346,
buy_cover,7347,-3.9934891026896366
sell_short,7672,
buy_cover,7673,-9.122351429561604
buy,7803,
sell,7804,-1.7766654952156387
