side,entry_step,exit_step,entry_price,exit_price,pnl,hold_bars
long,151,154,1948.57,1956.01,30.154110746037986,3
short,171,172,1994.52,2004.1,-52.20817699474355,1
short,291,294,1989.26,1988.79,-1.6328291200861713,3
long,379,381,2018.23,2015.51,-21.40414981262984,2
long,563,564,1970.25,1963.44,-42.32489304287628,1
long,613,615,1967.61,1967.07,-10.64127514060965,2
long,741,742,1917.51,1916.34,-13.950143119653148,1
short,755,756,1929.84,1942.25,-67.53926460527146,1
long,842,852,1963.21,1955.89,-44.41369662929901,10
short,888,891,1932.8,1943.01,-55.539331509291515,3
short,1017,1018,1964.66,1961.17,13.374783665212817,1
short,1058,1059,1968.74,1977.01,-44.75351363409027,1
short,1282,1289,1976.01,1977.66,-11.955243011681887,7
short,1433,1434,1978.41,1978.78,-5.673714434778958,1
short,1623,1630,1936.72,1942.42,-32.292273211052816,7
short,1714,1725,1874.11,1858.89,74.32091706326901,11
short,1761,1764,1861.55,1868.25,-38.78203075456622,3
long,2003,2004,1845.7,1825.98,-110.77565586901437,1
short,2039,2041,1816.67,1829.85,-73.07608622452426,2
short,2078,2079,1830.07,1829.05,1.4914971581802092,1
long,2082,2083,1823.7,1823.45,-8.867774991816987,1
long,2097,2100,1829.73,1824.23,-35.971759293703144,3
short,2119,2131,1827.51,1823.93,14.695828843530762,12
long,2151,2152,1810.83,1814.74,12.810783228540458,1
long,2206,2212,1850.76,1856.23,20.345616919625172,6
long,2246,2251,1847.81,1852.48,16.33812895603478,5
long,2274,2276,1852.9,1851.94,-12.495079838441598,2
short,2291,2292,1904.02,1909.27,-29.91720984751555,1
long,2511,2514,2062.19,2072.44,39.33517299535015,3
long,2536,2537,2118.33,2111.4,-38.56817484095518,1
long,2556,2557,2069.13,2067.41,-15.39191078658041,1
short,2650,2661,2066.97,2053.9,55.85397444375849,11
short,2716,2720,2068.2,2070.0,-12.045822827887605,4
short,2742,2750,2040.35,2022.79,77.71086276571987,8
long,2833,2841,2029.07,2028.2,-11.718314930789347,8
long,2850,2851,2026.47,2027.33,-3.5801023926651396,1
short,3020,3026,1963.35,1951.59,53.27150796465321,6
short,3123,3124,1890.25,1906.88,-88.12620337673434,1
short,3125,3128,1921.77,1921.4,-1.968012600664224,3
short,3135,3138,1930.78,1929.72,1.4147739054260455,3
short,3196,3203,1926.07,1927.82,-12.413346976512912,7
short,3216,3217,1894.76,1891.82,10.910270697007945,1
short,3253,3265,1861.72,1858.54,12.404065921551592,12
long,3294,3295,1865.15,1865.88,-3.877361406788623,1
short,3298,3306,1870.35,1891.87,-112.96513391489134,8
short,3450,3451,1989.14,2005.91,-82.77310101579496,1
long,3478,3479,2019.41,2013.33,-35.35807234850654,1
short,3564,3565,1987.54,1987.64,-4.165786309569739,1
short,3595,3596,2017.72,2006.58,47.35733370789421,1
long,3619,3620,2005.95,1993.38,-65.59107099519133,1
short,3692,3695,1928.98,1946.08,-85.48709611028426,3
short,3821,3824,1938.96,1949.34,-52.583976259131305,3
short,3850,3858,1938.4,1949.18,-54.159688109610215,8
short,3893,3894,1966.24,1977.21,-53.98739783396195,1
long,4029,4030,2010.99,2012.01,-2.627432241817587,1
short,4067,4068,2010.55,2014.61,-21.70283163120621,1
short,4194,4198,1967.39,1998.99,-147.29116005417018,4
long,4215,4218,1963.63,1981.15,71.37336876959671,3
short,4224,4228,1981.34,1995.94,-68.90566099218267,4
short,4276,4278,1982.43,1981.94,-1.3436868545486504,2
long,4297,4299,1980.12,1968.46,-58.764397834536794,2
long,4321,4328,1976.27,1979.24,6.130220633012868,7
short,4335,4340,1948.07,1960.9,-61.079445233033766,5
short,4360,4361,1965.77,1972.63,-33.76338806386411,1
long,4426,4429,2067.1,2070.35,6.664915641227708,3
long,4467,4468,2106.94,2084.39,-99.40035562993035,1
long,4543,4544,2159.89,2150.13,-45.43513520054148,1
short,4594,4595,2137.4,2136.78,-0.9341005951810075,1
long,4599,4602,2124.03,2111.32,-57.62447721371245,3
short,4606,4618,2129.4,2122.07,25.697331233861405,12
long,4650,4654,2116.28,2112.14,-23.32171869731792,4
short,4667,4669,2129.34,2129.99,-5.956362877492211,2
long,4675,4677,2096.3,2098.93,3.8288552853446163,2
short,4693,4695,2129.34,2130.42,-7.658706859323502,2
long,4707,4716,2160.31,2147.01,-58.603358321292035,9
short,4808,4811,2076.59,2087.83,-48.682163260871675,3
short,5036,5048,2019.88,1981.55,154.64755932621392,12
short,5086,5095,1974.57,1975.7,-8.24189414704415,9
short,5170,5178,1983.23,1981.6,3.5735973915325303,8
short,5179,5181,1981.68,1979.94,4.049986830073976,2
short,5191,5195,1980.09,1995.07,-67.48308791722957,4
short,5225,5228,1978.61,1979.01,-5.058986391733924,3
short,5335,5340,1987.8,1984.77,9.440954477902778,5
long,5373,5374,1970.28,1970.24,-6.88862577519285,1
short,5410,5411,1968.32,1967.91,-1.6087357355772838,1
short,5439,5440,1972.11,1970.19,4.815543589429581,1
long,5457,5461,1966.73,1970.15,7.871718932450676,4
short,5477,5481,1969.11,1946.71,92.25065675875521,4
short,5503,5505,1934.29,1940.45,-30.4522398836707,2
short,5517,5519,1951.43,1946.79,16.739338365869116,2
long,5569,5573,1976.5,1972.77,-22.75865726054144,4
short,5649,5661,1945.16,1935.21,39.87150885770643,12
short,5676,5677,1952.97,1959.67,-32.53604331911811,1
short,5709,5715,1920.72,1934.98,-66.18925336287248,6
long,5737,5741,1934.03,1956.07,88.8075888218209,4
long,5864,5866,1995.41,1997.98,4.130102980379888,2
short,5884,5885,2009.6,2002.66,25.908233054324228,1
long,5940,5943,2025.86,2019.15,-34.95103493203351,3
short,6030,6032,2019.41,2015.37,13.56421087538547,2
long,6051,6063,2038.25,2041.89,8.352581264667606,12
short,6200,6201,2075.19,2085.73,-46.53878307742525,1
short,6268,6271,2045.38,2042.14,10.001418307321728,3
long,6282,6283,2026.29,2028.63,2.9930772349434847,1
short,6304,6305,2034.85,2033.75,1.1899291800036735,1
long,6380,6382,2014.63,2014.82,-5.96368231201086,2
short,6416,6421,2023.76,2020.68,9.482041816110723,5
long,6428,6440,2017.87,2028.68,38.49731738232731,12
short,6468,6469,2040.66,2044.76,-20.469628992033904,1
long,6549,6557,2071.69,2070.59,-11.26927160899504,8
long,6578,6580,2068.58,2063.11,-29.119402818349045,2
short,6617,6626,2051.63,2039.86,45.014822731393,9
long,6713,6714,2061.33,2053.92,-37.216282780722395,1
short,6759,6760,2071.0,2072.99,-11.485649191921766,1
long,6774,6775,2042.86,2043.03,-6.03639419540923,1
long,6790,6797,2059.23,2071.02,41.42605788536821,7
long,6806,6810,2061.53,2062.9,-1.147911735541129,4
long,6854,6855,2060.91,2058.5,-16.647292609792203,1
short,6872,6873,2065.3,2080.66,-66.18381402448722,1
long,6888,6892,2107.31,2132.0,91.33457746094427,4
long,6947,6949,2104.99,2107.44,3.0749377921256382,2
short,6962,6970,2096.35,2100.77,-21.24919933232195,8
long,7044,7056,2197.14,2192.98,-22.730904839831055,12
